"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,39,1,14,NA,NA,1
3,37,1,14,5,4,1
3,40,2,4,5,4,1
3,25,2,14,6,3,2
3,58,2,15,5,4,2
3,27,2,15,6,3,1
3,32,2,14,3,5,1
3,40,1,14,6,3,1
3,39,2,14,3,3,1
3,28,2,14,5,4,1
3,52,2,8,NA,NA,2
3,23,1,8,6,3,2
3,62,1,22,7,5,2
3,30,1,30,4,3,1
3,28,2,14,4,3,2
3,72,2,4,5,4,2
3,51,2,4,8,2,2
3,62,2,14,10,2,1
3,76,2,30,10,2,1
3,21,2,30,10,1,2
3,47,2,14,5,4,1
3,31,1,21,4,3,1
3,29,1,21,4,3,1
3,29,2,71,3,3,1
3,49,1,43,5,2,1
3,43,2,43,5,1,1
3,20,1,43,4,3,2
3,39,1,14,5,4,1
3,77,1,15,12,4,1
3,33,1,9,6,3,1
3,32,2,4,4,3,1
3,62,2,4,5,4,2
3,32,1,30,6,3,1
3,31,1,14,12,2,1
3,29,2,6,11,4,1
3,35,2,22,6,3,1
3,26,2,22,11,4,2
3,26,1,22,6,3,1
3,36,1,22,11,4,1
3,34,1,14,11,4,1
3,25,2,21,4,2,1
3,30,1,14,6,3,1
3,45,1,21,NA,NA,1
3,28,2,21,NA,NA,2
3,54,1,21,5,4,1
3,39,2,21,NA,NA,1
3,26,2,21,6,2,2
3,24,1,21,6,1,1
3,22,2,21,4,3,1
3,19,2,21,4,3,2
3,46,1,21,5,0,1
3,37,2,21,5,0,1
3,54,2,21,NA,NA,1
3,30,1,21,4,3,1
3,30,2,21,4,3,2
3,65,1,63,NA,NA,1
3,36,2,97,3,3,1
3,46,2,8,10,2,1
3,28,2,8,4,3,2
3,27,1,8,4,3,1
3,53,1,53,11,4,2
3,39,2,21,6,3,1
3,45,2,53,5,3,1
3,20,2,53,3,4,2
3,33,1,53,3,6,1
3,22,1,53,3,5,1
3,49,1,21,NA,NA,1
3,36,2,21,NA,NA,1
3,20,1,21,6,3,2
3,46,1,21,5,4,1
3,36,2,21,3,3,1
3,30,2,21,4,0,2
3,19,2,21,4,3,2
3,24,1,21,6,3,2
3,29,1,21,6,3,2
3,64,1,21,3,5,2
3,68,1,43,5,4,2
3,56,2,43,3,3,2
3,19,1,21,4,1,2
3,25,1,21,6,3,1
3,23,1,21,4,3,1
3,33,1,21,4,3,1
3,32,1,22,6,3,1
3,23,2,12,4,3,2
3,43,1,21,NA,NA,1
3,42,2,21,7,2,1
3,23,1,21,6,3,1
3,21,2,21,NA,NA,1
3,57,2,21,NA,NA,1
3,66,1,21,NA,NA,1
3,21,2,21,3,5,1
3,72,2,97,NA,NA,1
3,52,2,21,5,4,1
3,30,1,21,6,3,1
3,26,1,21,4,3,1
3,20,2,21,4,3,1
3,20,2,21,4,3,1
3,36,1,21,6,3,2
3,35,2,21,NA,NA,2
3,60,2,21,NA,NA,1
3,30,1,21,NA,NA,2
3,20,2,21,4,3,1
3,57,2,97,NA,NA,1
3,32,1,21,6,3,1
3,28,2,21,4,3,1
3,23,2,21,6,3,1
3,24,1,21,4,3,1
3,22,1,21,6,3,2
3,20,1,21,4,3,2
3,27,1,21,NA,NA,1
3,45,2,21,NA,NA,1
3,20,1,21,4,3,1
3,19,1,97,4,3,2
3,55,1,21,9,3,1
3,41,2,21,NA,NA,1
3,32,1,97,7,2,1
3,42,1,21,NA,NA,1
3,32,2,97,NA,NA,2
3,30,1,21,NA,NA,2
3,75,1,21,NA,NA,1
3,35,1,21,10,2,1
3,20,1,21,4,1,2
3,74,2,21,NA,NA,2
3,52,1,21,7,3,1
3,42,2,63,3,5,1
3,62,1,65,NA,NA,1
3,25,1,63,4,3,1
3,38,1,97,NA,NA,1
3,34,2,97,7,3,2
3,19,2,97,NA,NA,2
3,43,1,21,5,4,1
3,36,2,21,5,4,1
3,52,1,21,5,4,1
3,42,2,21,NA,NA,1
3,29,1,21,4,3,2
3,24,1,21,4,3,1
3,25,1,21,4,3,1
3,23,1,21,4,3,2
3,19,2,21,4,3,2
3,59,1,21,NA,NA,1
3,53,2,21,5,4,1
3,52,2,21,5,4,1
3,21,1,21,4,3,2
3,20,1,21,4,3,2
3,21,2,71,8,0,2
3,25,2,21,4,3,2
3,67,1,21,NA,NA,1
3,50,2,21,NA,NA,1
3,48,2,21,NA,NA,1
3,24,1,21,NA,NA,1
3,21,1,21,4,3,2
3,60,1,51,3,4,1
3,51,2,51,3,2,1
3,32,2,22,4,3,2
3,33,1,97,6,3,1
3,23,1,22,4,3,1
3,25,2,21,3,5,1
3,30,1,21,3,5,1
3,31,1,4,6,1,1
3,19,2,4,4,3,2
3,37,1,15,6,1,1
3,35,2,4,4,2,1
3,39,1,21,6,0,1
3,25,2,21,4,3,1
3,49,2,97,3,5,1
3,34,1,21,4,3,1
3,31,1,21,3,5,1
3,36,1,14,NA,NA,1
3,24,1,21,10,3,2
3,26,2,21,11,0,2
3,63,2,4,5,2,2
3,29,1,97,10,3,1
3,25,2,21,10,3,2
3,34,1,69,NA,NA,2
3,24,2,69,NA,NA,1
3,50,2,69,NA,NA,2
3,39,1,92,3,6,1
3,33,2,92,6,3,1
3,32,1,21,4,3,1
3,31,2,21,4,3,1
3,35,1,4,4,3,1
3,31,2,4,3,5,2
3,46,1,4,7,2,1
3,21,1,4,6,1,2
3,24,2,30,4,3,1
3,79,1,30,5,4,1
3,40,2,21,5,2,1
3,33,1,47,4,3,1
3,20,1,47,4,3,1
3,33,2,21,NA,NA,1
3,40,1,97,5,4,1
3,43,1,62,7,4,1
3,25,2,30,NA,NA,1
3,29,1,21,3,6,1
3,30,1,97,10,3,1
3,39,1,30,5,0,1
3,26,2,14,NA,NA,1
3,30,2,30,6,3,1
3,33,1,30,6,3,1
3,35,2,30,4,1,1
3,35,1,97,3,5,1
3,23,1,97,3,3,2
3,89,1,22,5,4,2
3,45,2,97,3,3,2
3,24,2,92,3,3,2
3,42,1,30,10,3,1
3,57,2,97,11,4,2
3,53,1,22,5,4,2
3,48,1,10,5,4,1
3,43,2,10,5,4,1
3,36,1,21,3,5,1
3,35,2,22,4,3,1
3,37,1,22,3,4,1
3,21,2,22,NA,NA,1
3,29,1,22,3,5,1
3,24,2,14,NA,NA,2
3,28,1,12,4,3,1
3,25,2,22,4,3,1
3,35,2,22,NA,NA,1
3,23,2,22,4,3,2
3,19,2,22,3,0,2
3,30,1,22,NA,NA,1
3,52,2,22,NA,NA,2
3,23,2,22,4,3,2
3,60,1,22,3,2,1
3,40,2,21,3,1,1
3,32,1,22,NA,NA,1
3,29,2,22,NA,NA,1
3,27,2,22,NA,NA,1
3,25,1,22,NA,NA,1
3,22,1,22,3,5,1
3,23,2,22,NA,NA,1
3,22,2,22,NA,NA,1
3,22,2,22,NA,NA,1
3,68,1,22,3,0,2
3,28,2,22,NA,NA,1
3,40,2,30,NA,NA,1
3,43,2,22,3,4,1
3,20,2,22,4,3,2
3,60,2,22,NA,NA,2
3,30,1,14,4,3,1
3,24,1,14,10,0,2
3,26,1,30,6,3,2
3,24,1,14,6,3,1
