"merge_id","hid.x","pid.x","gender","age","married","ethnicity","born_outside_accra","hid.y","pid.y","highest_education","hid","pid","seen_nih_card","nih"
"70193/01.1","70193/01",1,"Female",27,"Married","Ga",FALSE,"70193/01",1,"Primary","70193/01",1,NA,NA
"70193/01.2","70193/01",2,"Male",5,NA,"Ga",FALSE,"70193/01",2,"Kindergarten","70193/01",2,NA,NA
"70193/01.3","70193/01",3,"Male",4,NA,"Other tribes originating from outside Ghana (Hausa, Fulani, Zabrama, etc.)",FALSE,"70193/01",3,"Kindergarten","70193/01",3,NA,NA
"70193/02.1","70193/02",1,"Female",57,"Widowed","Ga",FALSE,"70193/02",1,"Primary","70193/02",1,NA,NA
"70193/03.1","70193/03",1,"Male",62,"Married","Akuapem",TRUE,"70193/03",1,"Middle","70193/03",1,NA,NA
"70193/03.2","70193/03",2,"Female",49,"Married","Akuapem",TRUE,"70193/03",2,"Primary","70193/03",2,NA,NA
"70193/03.3","70193/03",3,"Female",18,"Never married","Akuapem",TRUE,"70193/03",3,"JSS/JHS","70193/03",3,"Yes, card seen",TRUE
"70193/03.4","70193/03",4,"Male",11,NA,"Akuapem",TRUE,"70193/03",4,"Primary","70193/03",4,NA,NA
"70193/04.1","70193/04",1,"Male",38,"Married","Ga",FALSE,"70193/04",1,"Primary","70193/04",1,NA,NA
"70193/04.2","70193/04",2,"Female",25,"Married","Ga",FALSE,"70193/04",2,NA,"70193/04",2,NA,NA
"70193/04.3","70193/04",3,"Male",3,NA,"Ga",FALSE,"70193/04",3,"Kindergarten","70193/04",3,"Yes, card not seen",FALSE
"70193/05.1","70193/05",1,"Female",60,"Divorced","Ga",FALSE,"70193/05",1,"Middle","70193/05",1,NA,NA
"70193/05.2","70193/05",2,"Male",43,"Separated","Ga",FALSE,"70193/05",2,"Middle","70193/05",2,"Yes, card seen",TRUE
"70193/05.3","70193/05",3,"Female",24,"Never married","Ga",FALSE,"70193/05",3,"JSS/JHS","70193/05",3,NA,NA
"70193/05.4","70193/05",4,"Female",15,"Never married","Ga",FALSE,"70193/05",4,"JSS/JHS","70193/05",4,NA,NA
